name,author,district_name,address,collect_status,estimation,category,summary,body,Adresse,Résumé,Objectif
Assurer aux jeunes du quartier l'accès à un lieu de rencontre et de pratique sportive,Bernard Lelièvre,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Sports,,"L'accès à cet espace est un élément d'équilibre pour ce quartier, les jeunes - adolescents, jeunes adultes, parfois accompagnés de plus jeunes - s'y retrouvent en grand nombre.",17 boulevard Arisitide Briand,Assurer aux jeunes l'accès à un lieu de rencontre,Il est primordial d'assurer la continuité de cette offre qui contribue à l'équilibre et la bonne entente du quartier
Extermination d'une déchetterie sauvage pour un parterre fleuri,Caroline Dessimond ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,5000,Espaces verts,,"Répartition des poubelles (qu'elles ne soient pas toutes au même endroit - Réaménagement de l'îlot de l'angle de la rue Charles Infroit et rue Molière -Réaménagement du trottoir contre la maison du 26 rue Charles Infroit - Sur l'îlot faire pousser des fleurs ce qui évitera aux gens des dépots sauvage - Sur le trottoir, un blanc pour accéder aux passages piétons ",Rue Charles Infroit et de la rue Molière,"Répartition des poubelles pour qu'elles ne soient pas toutes au même endroit, réaménagement de l'ilôt de l'angle de la rue Charles Infroit et rue Molière, réaménagement du trottoir contre la maision du 26 rue Charles Infroit, sur l'ilôt, y faire pousser d",Le projet répond à une amélioration de l'îlot et du bout de la rue Charles Infroit et de la rue Molière
Renouveau des moineaux,Catherine Vella ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,Redonner un nouvel aspect au square des Moineaux (ajaout d'un ou 2) – revitalisation des espaces verts ,square des Moineaux,"Redonner un nouvel aspect au square des Moineaux
en revitalisant/créant des espaces verts",Rénovation du square des moineaux
Création d'un poulailler,Catherine Vigneron ,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,,Espaces verts,,Nous désirons créer une association qui prendrait en charge la mise en place d'un poulailler de 6 à 10 poules.,16 A rue Paul Lafarge,"Nous désirons créer une association qui prendrait en
charge la mise en place d'un poulailler de 6 à 10 poules.
Une fois le démarrage assuré, nous voulons offrir à tous,
la possibilité de venir aider à nourrir les poules, à ramasser
les oeufs ou observer l", Création de lieu social dans le quartier
CUM Collective Urban Modules,Cédric Benyounès ,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,10000,Aménagement et Mobilier Urbain,,"Conception et réalisation de modules d'aménagement urbains sous forme circulaires déclinant différent usages collectifs à associer et étendre sur tous les quartiers :
",Tous les quartiers,"Mixité, lutte contre le désœuvrement des jeunes, amélioration cadre de vie, usages participatifs"," Mixité, lutte contre le désœuvrement des jeunes, amélioration cadre de vie, usages participatifs ."
Renardière semi-piétonne végétalisée,Cédric Benyounès ,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,30000,Aménagement et Mobilier Urbain,,"Aménagement au carrefour du chemin des Redoutes pour empêcher le dépôt sauvage d'ordures, la prise de la rue en sens interdit et le stationnement gênant pour les piétons.",Abords de la station Boissière – Dhuys,"Sécurisation, aménagement et propreté de la rue de la Renardière aux abords de la station Boissière-Dhuys","Sécurisation, aménagement et propreté de la rue de la Renardière aux abords de la station Boissière."
Square intergénérationel Léo,Céline / Marie-Brigitte HEDHUIN / LEVASSOR,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Espaces verts,,Square intergénérationel Léo,,"Réhabilitation des espaces verts et publics
dans le quartier Ramenas-Léo Lagrange,
qui n'ont pas eu de rénovation depuis plus
de 2 ans pour répondre à un besoin de vivre
Ensemble

note descriptive en PJ",
Améliorer la qualité de l'air,CHAMBET Nicolas,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Améliorer la qualité de l'air,"rue de Romainville, rue Pépin","Planter des arbres le long des rues.
Si les trottoirs sont trop étroits, alors les élargir.",
Favoriser la circulation piétonne ou à vélo,CHAMBET Nicolas,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Favoriser la circulation piétonne ou à vélo,NON RENSEIGNE,"Interdire ou réduire la circulation dans certaines rues.

Poser des ralentisseurs et réduire la voie de circulation au bénéfice des trottoirs dans la rue de Romainville et la rue pépin.",
Barbac RUF1,Cherif Cheniti ,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,30000,Aménagement et Mobilier Urbain,,"Aménager une très grande partie du jardin pédagogique pour permettre aux habitants de faire des barbceue. Avec un système de réservation , gérer par un jeune ou moins jeune du quartier en chômage de longue durée (un emploi d'avenir par exemple )",Quartier,Permettre aux habitants du quartier de pouvoir faier des barbecues en toute tranquillité,Permettre aux habitants du quartier de pouvoir faire des barbecue en toute tranquillité
